[INFO]
LINE_NAME,MACHINE_SN,MACHINE_NAME,OPERATOR_ID
SMTTLAM,ParmiMachineSN,SMT10AOI,Operator
[INFO_END]

[PANEL_INSP_RESULT]
MODEL_NAME,MODEL_CODE,PANEL_SIDE,INDEX,BARCODE,DATE,START_TIME,END_TIME,DEFECT_NAME,DEFECT_CODE,RESULT
MED_Stryker_R-2690_THT_BOT,,BOTTOM,33,R2690C24130033,20240620,13:43:28,13:43:41,Solder Joint,SOLDER JOINT,PASS
[PANEL_INSP_RESULT_END]

[BOARD_INSP_RESULT]
BOARD_NO,BARCODE,DEFECT_NAME,DEFECT_CODE,BADMARK,RESULT
1,R2690C24130033,Solder Joint,SOLDER JOINT,NO,PASS
2,R2690C24130038,Solder Joint,SOLDER JOINT,NO,PASS
[BOARD_INSP_RESULT_END]

[COMPONENT_INSP_RESULT]
BOARD_NO,LOCATION_NAME,PIN_NUMBER,POS_X,POS_Y,DEFECT_NAME,DEFECT_CODE,RESULT
1,J10,,20.593,44.278,Pin,PIN,PASS
1,J18,,18.267,131.453,Pin,PIN,PASS
1,J3,,18.308,101.195,Solder Joint,SOLDER JOINT,PASS
1,J3,4,18.308,101.195,Solder Amount,SOLDER_AMOUNT,PASS
1,J6,,18.345,89.446,Pin,PIN,PASS
2,U24,,246.244,76.379,Solder Joint,SOLDER JOINT,PASS
2,U24,3,246.244,76.379,Solder Wettability,SOLDER_WETTABILITY,PASS
2,J10,,145.593,44.278,Solder Joint,SOLDER JOINT,PASS
2,J10,3,145.593,44.278,Solder Wettability,SOLDER_WETTABILITY,PASS
2,J6,,143.345,89.446,Pin,PIN,PASS
[COMPONENT_INSP_RESULT_END]
