[INFO]
LINE_NAME,MACHINE_SN,MACHINE_NAME,OPERATOR_ID
SMTTLAM,ParmiMachineSN,SMT10AOI,Operator
[INFO_END]

[PANEL_INSP_RESULT]
MODEL_NAME,MODEL_CODE,PANEL_SIDE,INDEX,BARCODE,DATE,START_TIME,END_TIME,DEFECT_NAME,DEFECT_CODE,RESULT
MED_Stryker_R-2534_THT_BOT,,BOTTOM,17,R2534K24170026,20240613,14:05:34,14:05:42,Body Lift,LIFT,PASS
[PANEL_INSP_RESULT_END]

[BOARD_INSP_RESULT]
BOARD_NO,BARCODE,DEFECT_NAME,DEFECT_CODE,BADMARK,RESULT
1,R2534K24170026,Body Lift,LIFT,NO,PASS
[BOARD_INSP_RESULT_END]

[COMPONENT_INSP_RESULT]
BOARD_NO,LOCATION_NAME,PIN_NUMBER,POS_X,POS_Y,DEFECT_NAME,DEFECT_CODE,RESULT
1,C50,,264.803,128.401,Pin,PIN,PASS
1,U6,,238.108,139.380,Wrong Component,WRONG,PASS
1,U7,,237.907,126.461,Wrong Component,WRONG,PASS
1,TR2,,237.208,44.477,Solder Joint,SOLDER JOINT,PASS
1,TR2,1,237.208,44.477,Solder Wettability,SOLDER_WETTABILITY,PASS
1,TR2,3,237.208,44.477,Solder Wettability,SOLDER_WETTABILITY,PASS
1,TR2,5,237.208,44.477,Solder Wettability,SOLDER_WETTABILITY,PASS
1,R47,,229.409,94.699,Pin,PIN,PASS
1,R60,,226.722,80.642,Pin,PIN,PASS
1,R35,,221.849,80.600,Pin,PIN,PASS
1,J3,,216.697,29.499,Solder Joint,SOLDER JOINT,PASS
1,J3,1,216.697,29.499,Solder Wettability,SOLDER_WETTABILITY,PASS
1,J3,2,216.697,29.499,Solder Wettability,SOLDER_WETTABILITY,PASS
1,J3,3,216.697,29.499,Solder Wettability,SOLDER_WETTABILITY,PASS
1,J3,4,216.697,29.499,Solder Wettability,SOLDER_WETTABILITY,PASS
1,R46,,192.551,96.638,Pin,PIN,PASS
1,RT1,,156.404,143.710,Upside down,UPSIDE DOWN,PASS
1,J1,,155.795,30.124,Solder Joint,SOLDER JOINT,PASS
1,J1,2,155.795,30.124,Solder Wettability,SOLDER_WETTABILITY,PASS
1,C33,,133.039,104.276,Pin,PIN,PASS
1,R23,,108.171,96.548,Solder Joint,SOLDER JOINT,PASS
1,R23,1,108.171,96.548,Solder Wettability,SOLDER_WETTABILITY,PASS
1,R25,,103.194,96.576,Pin,PIN,PASS
1,TR1,,101.536,56.349,Solder Joint,SOLDER JOINT,PASS
1,TR1,3,101.536,56.349,Solder Wettability,SOLDER_WETTABILITY,PASS
1,R29,,98.101,95.241,Pin,PIN,PASS
1,R79,,91.022,135.184,Body Lift,LIFT,PASS
1,K1,,42.407,33.482,Pin,PIN,PASS
[COMPONENT_INSP_RESULT_END]
