[INFO]
LINE_NAME,MACHINE_SN,MACHINE_NAME,OPERATOR_ID
SMTTLAM,ParmiMachineSN,SMT10AOI,Operator
[INFO_END]

[PANEL_INSP_RESULT]
MODEL_NAME,MODEL_CODE,PANEL_SIDE,INDEX,BARCODE,DATE,START_TIME,END_TIME,DEFECT_NAME,DEFECT_CODE,RESULT
MED_Stryker_R-2533_THT_BOT,,BOTTOM,8,R2533K24140017,20240514,12:18:21,12:18:30,Missing Component,MISSING,PASS
[PANEL_INSP_RESULT_END]

[BOARD_INSP_RESULT]
BOARD_NO,BARCODE,DEFECT_NAME,DEFECT_CODE,BADMARK,RESULT
1,R2533K24140017,Missing Component,MISSING,NO,PASS
2,R2533K24140035,Missing Component,MISSING,NO,PASS
3,R2533K24140034,Missing Component,MISSING,NO,PASS
[BOARD_INSP_RESULT_END]

[COMPONENT_INSP_RESULT]
BOARD_NO,LOCATION_NAME,PIN_NUMBER,POS_X,POS_Y,DEFECT_NAME,DEFECT_CODE,RESULT
1,J9,,79.048,216.196,Pin,PIN,PASS
1,J2,,46.225,24.053,Pin,PIN,PASS
1,C172,,35.819,211.301,Missing Component,MISSING,PASS
1,J7,,28.084,60.924,Pin,PIN,PASS
1,J3,,24.009,46.008,Pin,PIN,PASS
1,J6,,23.948,28.917,Solder Joint,SOLDER JOINT,PASS
1,J6,3,23.948,28.917,Solder Wettability,SOLDER_WETTABILITY,PASS
2,J1,,151.160,218.526,Solder Joint,SOLDER JOINT,PASS
2,J1,1,151.160,218.526,Solder Wettability,SOLDER_WETTABILITY,PASS
2,J2,,136.225,24.053,Pin,PIN,PASS
2,C172,,125.819,211.301,Missing Component,MISSING,PASS
2,J7,,118.084,60.924,Solder Joint,SOLDER JOINT,PASS
2,J7,6,118.084,60.924,Solder Wettability,SOLDER_WETTABILITY,PASS
2,J3,,114.008,46.008,Solder Joint,SOLDER JOINT,PASS
2,J3,4,114.008,46.008,Solder Wettability,SOLDER_WETTABILITY,PASS
2,J6,,113.947,28.917,Pin,PIN,PASS
3,J2,,226.225,24.053,Solder Joint,SOLDER JOINT,PASS
3,J2,8,226.225,24.053,Solder Wettability,SOLDER_WETTABILITY,PASS
3,C172,,215.819,211.301,Missing Component,MISSING,PASS
3,J7,,208.084,60.924,Pin,PIN,PASS
3,J3,,204.008,46.008,Solder Joint,SOLDER JOINT,PASS
3,J3,4,204.008,46.008,Solder Wettability,SOLDER_WETTABILITY,PASS
3,J6,,203.947,28.917,Solder Joint,SOLDER JOINT,PASS
3,J6,2,203.947,28.917,Solder Wettability,SOLDER_WETTABILITY,PASS
3,J6,3,203.947,28.917,Solder Wettability,SOLDER_WETTABILITY,PASS
3,J6,4,203.947,28.917,Solder Wettability,SOLDER_WETTABILITY,PASS
[COMPONENT_INSP_RESULT_END]
